,proto,rate,sttl,sload,dload,smean,dmean,ct_flw_http_mthd,is_sm_ips_ports,attack_cat
48036,120,125000.0003,254,10000,0,100,0,0,0,1
48037,120,125000.0003,254,10000,0,100,0,0,0,0
48038,47,333333.3215,254,16329.93129,0,100,0,0,0,1
48039,10,125000.0003,254,10000,0,100,0,0,0,1
48040,120,125000.0003,254,10000,0,100,0,0,0,0
48041,120,333333.3215,254,16329.93129,0,100,0,0,0,0
48042,118,166666.6608,254,11547.00515,0,100,0,0,0,1
48043,112,333333.3215,254,16329.93129,0,100,0,0,0,1
48044,78,125000.0003,254,10000,0,100,0,0,0,1
48045,76,333333.3215,254,16329.93129,0,100,0,0,0,1
48046,105,200000.0051,254,12649.11064,0,100,0,0,0,1
48047,2,200000.0051,254,12649.11064,0,100,0,0,0,1
48048,95,125000.0003,254,10000,0,100,0,0,0,1
48049,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48050,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48051,120,125000.0003,254,10000,0,100,0,0,0,0
48052,97,125000.0003,254,10000,0,100,0,0,0,1
48053,88,333333.3215,254,16329.93129,0,100,0,0,0,1
48054,96,333333.3215,254,16329.93129,0,100,0,0,0,1
48055,27,333333.3215,254,16329.93129,0,100,0,0,0,1
48056,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48057,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48058,120,125000.0003,254,10000,0,100,0,0,0,1
48059,5,111111.1072,254,9428.090369,0,100,0,0,0,1
48060,120,200000.0051,254,12649.11064,0,100,0,0,0,1
48061,80,333333.3215,254,16329.93129,0,100,0,0,0,1
48062,120,125000.0003,254,10000,0,100,0,0,0,1
48063,14,125000.0003,254,10000,0,100,0,0,0,1
48064,120,200000.0051,254,12649.11064,0,100,0,0,0,1
48065,120,166666.6608,254,11547.00515,0,100,0,0,0,1
48066,125,125000.0003,254,10000,0,100,0,0,0,1
48067,35,125000.0003,254,10000,0,100,0,0,0,1
48068,109,500000.0013,254,20000,0,100,0,0,0,1
48069,63,125000.0003,254,10000,0,100,0,0,0,1
48070,107,200000.0051,254,12649.11064,0,100,0,0,0,1
48071,102,125000.0003,254,10000,0,100,0,0,0,1
48072,120,125000.0003,254,10000,0,100,0,0,0,1
48073,59,125000.0003,254,10000,0,100,0,0,0,1
48074,120,125000.0003,254,10000,0,100,0,0,0,1
48075,103,200000.0051,254,12649.11064,0,100,0,0,0,1
48076,120,250000.0006,254,14142.13562,0,100,0,0,0,1
48077,29,1000000.003,254,28284.27125,0,100,0,0,0,1
48078,85,333333.3215,254,16329.93129,0,100,0,0,0,1
48079,120,142857.1409,254,10690.44957,0,100,0,0,0,0
48080,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48081,17,333333.3215,254,16329.93129,0,100,0,0,0,1
48082,120,1000000.003,254,28284.27125,0,100,0,0,0,0
48083,120,125000.0003,254,10000,0,100,0,0,0,0
48084,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48085,106,200000.0051,254,12649.11064,0,100,0,0,0,1
48086,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48087,120,142857.1409,254,10690.44957,0,100,0,0,0,1
48088,120,125000.0003,254,10000,0,100,0,0,0,1
48089,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48090,120,125000.0003,254,10000,0,100,0,0,0,1
48091,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48092,120,125000.0003,254,10000,0,100,0,0,0,0
48093,120,125000.0003,254,10000,0,100,0,0,0,1
48094,120,333333.3215,254,16329.93129,0,100,0,0,0,1
48095,120,125000.0003,254,10000,0,100,0,0,0,1
48096,120,200000.0051,254,12649.11064,0,100,0,0,0,0
48097,120,125000.0003,254,10000,0,100,0,0,0,0
48098,120,125000.0003,254,10000,0,100,0,0,0,0
48099,120,125000.0003,254,10000,0,100,0,0,0,1
48100,120,333333.3215,254,16329.93129,0,100,0,0,0,1
48101,120,125000.0003,254,10000,0,100,0,0,0,0
48102,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48103,120,250000.0006,254,14142.13562,0,100,0,0,0,0
48105,120,333333.3215,254,16329.93129,0,100,0,0,0,0
48107,120,1000000.003,254,28284.27125,0,100,0,0,0,1
48108,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48109,120,125000.0003,254,10000,0,100,0,0,0,0
48110,120,142857.1409,254,10690.44957,0,100,0,0,0,1
48111,120,125000.0003,254,10000,0,100,0,0,0,1
48113,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48114,120,200000.0051,254,12649.11064,0,100,0,0,0,0
48116,120,125000.0003,254,10000,0,100,0,0,0,0
48117,67,111111.1072,254,9428.090369,0,100,0,0,0,1
48118,120,125000.0003,254,10000,0,100,0,0,0,1
48119,38,333333.3215,254,16329.93129,0,100,0,0,0,1
48120,120,166666.6608,254,11547.00515,0,100,0,0,0,1
48121,120,333333.3215,254,16329.93129,0,100,0,0,0,1
48123,120,333333.3215,254,16329.93129,0,100,0,0,0,1
48124,120,333333.3215,254,16329.93129,0,100,0,0,0,0
48125,120,125000.0003,254,10000,0,100,0,0,0,1
48126,120,125000.0003,254,10000,0,100,0,0,0,0
48127,120,125000.0003,254,10000,0,100,0,0,0,0
48128,120,125000.0003,254,10000,0,100,0,0,0,1
48129,101,111111.1072,254,9428.090369,0,100,0,0,0,1
48130,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48131,120,125000.0003,254,10000,0,100,0,0,0,1
48132,3,125000.0003,254,10000,0,100,0,0,0,1
48134,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48137,120,333333.3215,254,16329.93129,0,100,0,0,0,0
48139,3,111111.1072,254,9428.090369,0,100,0,0,0,1
48140,120,125000.0003,254,10000,0,100,0,0,0,1
48141,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48145,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48147,120,333333.3215,254,16329.93129,0,100,0,0,0,0
48149,120,142857.1409,254,10690.44957,0,100,0,0,0,1
48150,120,333333.3215,254,16329.93129,0,100,0,0,0,0
48151,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48152,120,333333.3215,254,16329.93129,0,100,0,0,0,1
48153,120,125000.0003,254,10000,0,100,0,0,0,1
48158,120,200000.0051,254,12649.11064,0,100,0,0,0,0
48159,113,36.544989,254,121.8683051,4365.908203,85,45,0,0,1
48160,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48161,36,111111.1072,254,9428.090369,0,100,0,0,0,0
48162,64,200000.0051,254,12649.11064,0,100,0,0,0,1
48163,48,111111.1072,254,9428.090369,0,100,0,0,0,1
48164,70,333333.3215,254,16329.93129,0,100,0,0,0,1
48165,26,111111.1072,254,9428.090369,0,100,0,0,0,1
48166,41,200000.0051,254,12649.11064,0,100,0,0,0,1
48167,115,125000.0003,254,10000,0,100,0,0,0,1
48168,1,500000.0013,254,20000,0,100,0,0,0,1
48169,52,500000.0013,254,20000,0,100,0,0,0,1
48170,34,111111.1072,254,9428.090369,0,100,0,0,0,1
48171,57,111111.1072,254,9428.090369,0,100,0,0,0,1
48172,98,111111.1072,254,9428.090369,0,100,0,0,0,1
48173,90,500000.0013,254,20000,0,100,0,0,0,1
48174,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48175,114,125000.0003,254,10000,0,100,0,0,0,1
48176,32,333333.3215,254,16329.93129,0,100,0,0,0,1
48177,69,111111.1072,254,9428.090369,0,100,0,0,0,1
48178,21,200000.0051,254,12649.11064,0,100,0,0,0,1
48181,51,333333.3215,254,16329.93129,0,100,0,0,0,1
48182,3,200000.0051,254,12649.11064,0,100,0,0,0,1
48183,123,1000000.003,254,28284.27125,0,100,0,0,0,1
48190,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48195,120,1000000.003,254,28284.27125,0,100,0,0,0,1
48197,120,166666.6608,254,11547.00515,0,100,0,0,0,1
48198,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48200,120,125000.0003,254,10000,0,100,0,0,0,0
48201,120,166666.6608,254,11547.00515,0,100,0,0,0,0
48202,120,333333.3215,254,16329.93129,0,100,0,0,0,1
48203,120,333333.3215,254,16329.93129,0,100,0,0,0,0
48204,120,166666.6608,254,11547.00515,0,100,0,0,0,0
48206,120,200000.0051,254,12649.11064,0,100,0,0,0,0
48207,120,250000.0006,254,14142.13562,0,100,0,0,0,0
48209,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48211,120,333333.3215,254,16329.93129,0,100,0,0,0,1
48212,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48214,120,125000.0003,254,10000,0,100,0,0,0,0
48217,120,200000.0051,254,12649.11064,0,100,0,0,0,1
48218,120,125000.0003,254,10000,0,100,0,0,0,1
48223,120,125000.0003,254,10000,0,100,0,0,0,0
48225,120,333333.3215,254,16329.93129,0,100,0,0,0,1
48226,99,125000.0003,254,10000,0,100,0,0,0,1
48227,121,125000.0003,254,10000,0,100,0,0,0,1
48228,120,125000.0003,254,10000,0,100,0,0,0,1
48229,120,125000.0003,254,10000,0,100,0,0,0,1
48230,122,166666.6608,254,11547.00515,0,100,0,0,0,1
48231,120,125000.0003,254,10000,0,100,0,0,0,1
48232,113,30.820856,254,163.3016225,148374.2031,334,909,1,0,1
48234,120,166666.6608,254,11547.00515,0,100,0,0,0,0
48236,18,333333.3215,254,16329.93129,0,100,0,0,0,1
48237,120,333333.3215,254,16329.93129,0,100,0,0,0,1
48238,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48239,49,200000.0051,254,12649.11064,0,100,0,0,0,1
48240,120,125000.0003,254,10000,0,100,0,0,0,1
48241,120,125000.0003,254,10000,0,100,0,0,0,1
48242,120,333333.3215,254,16329.93129,0,100,0,0,0,1
48244,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48245,120,125000.0003,254,10000,0,100,0,0,0,1
48253,120,166666.6608,254,11547.00515,0,100,0,0,0,1
48254,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48255,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48256,120,125000.0003,254,10000,0,100,0,0,0,1
48260,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48261,120,333333.3215,254,16329.93129,0,100,0,0,0,1
48263,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48264,120,333333.3215,254,16329.93129,0,100,0,0,0,0
48266,120,333333.3215,254,16329.93129,0,100,0,0,0,0
48267,120,125000.0003,254,10000,0,100,0,0,0,0
48273,120,125000.0003,254,10000,0,100,0,0,0,0
48274,120,125000.0003,254,10000,0,100,0,0,0,1
48276,120,125000.0003,254,10000,0,100,0,0,0,0
48282,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48287,120,333333.3215,254,16329.93129,0,100,0,0,0,0
48288,120,125000.0003,254,10000,0,100,0,0,0,0
48291,120,166666.6608,254,11547.00515,0,100,0,0,0,1
48293,120,125000.0003,254,10000,0,100,0,0,0,1
48295,120,166666.6608,254,11547.00515,0,100,0,0,0,1
48298,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48301,120,166666.6608,254,11547.00515,0,100,0,0,0,0
48305,120,125000.0003,254,10000,0,100,0,0,0,1
48307,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48309,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48311,120,125000.0003,254,10000,0,100,0,0,0,0
48312,120,125000.0003,254,10000,0,100,0,0,0,1
48315,120,125000.0003,254,10000,0,100,0,0,0,0
48322,120,125000.0003,254,10000,0,100,0,0,0,0
48323,78,1.557921,254,75.5772189,0,458,0,0,0,1
48324,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48326,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48331,120,200000.0051,254,12649.11064,0,100,0,0,0,0
48332,120,111111.1072,254,9428.090369,0,100,0,0,0,1
48333,120,166666.6608,254,11547.00515,0,100,0,0,0,0
48337,120,125000.0003,254,10000,0,100,0,0,0,0
48338,120,125000.0003,254,10000,0,100,0,0,0,0
48341,120,125000.0003,254,10000,0,100,0,0,0,0
48344,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48347,120,111111.1072,254,9428.090369,0,100,0,0,0,0
48356,120,200000.0051,254,12649.11064,0,100,0,0,0,1
48358,78,19.546697,254,100.0395381,0,64,0,0,0,1
48360,120,125000.0003,254,10000,0,100,0,0,0,1
48361,120,125000.0003,254,10000,0,100,0,0,0,1
48370,78,0.910356,254,56.60789788,0,440,0,0,0,1
48382,78,19.546697,254,100.0395381,0,64,0,0,0,0
48447,113,21.510611,254,70.57906761,3206.213135,50,51,0,0,1
48448,78,1.557921,254,75.5772189,0,458,0,0,0,0
48502,78,28.042109,254,119.8230344,0,64,0,0,0,1
48588,78,1.361132,254,23.7956105,0,52,0,0,0,1
48602,52,66666.66835,254,4788.876069,0,43,0,0,0,1
48622,97,100000.0025,254,7797.435476,0,76,0,0,0,1
48668,78,28.042109,254,119.8230344,0,64,0,0,0,0
48704,97,8.387348,254,73.44890869,2952.34668,134,220,0,0,0
48708,113,30.13107,254,71.59817956,5270.928711,46,47,0,0,1
48727,113,15.246537,254,50.93077745,3146.885254,46,55,0,0,1
48737,113,30.696315,62,72.26663344,8120.198242,46,71,0,0,1
48768,119,17.064167,254,41.58327723,2775.77124,38,61,0,0,1
48780,113,86.445367,254,121.273403,22360.53516,46,69,0,0,1
48786,97,8.387348,254,73.44890869,2952.34668,134,220,0,0,1
48813,119,76923.07779,254,8593.378381,0,120,0,0,0,8
48820,113,75.273241,254,148.4587616,8992.643555,61,45,0,0,8
48854,113,16.447206,254,89.49130053,1964.892944,101,45,1,0,1
48868,97,15.489033,254,335.2147167,718.963501,994,69,0,0,1
48885,119,250000.0006,254,19798.98987,0,196,0,0,0,8
48907,119,82.327563,254,150.0827116,6059.308594,57,46,0,0,1
48918,119,111111.1072,254,12507.77486,0,176,0,0,0,8
48942,119,125000.0003,254,8426.149773,0,71,0,0,0,8
48961,113,30.906419,254,80.98560045,4541.616699,46,50,0,0,1
49004,31,142857.1409,254,10690.44957,0,100,0,0,0,0
49019,113,16.49771,254,72.33730398,2406.724854,75,44,0,0,8
49050,113,32.061764,254,113.6983013,3830.312012,84,45,0,0,8
49067,78,0.619032,254,17.80293055,0,64,0,0,0,0
49080,96,100000.0025,254,8944.27191,0,100,0,0,0,0
49096,113,13.214948,254,56.2063155,1927.827759,56,44,0,0,1
49108,119,142857.1409,254,11006.49154,0,106,0,0,0,8
49164,97,250000.0006,254,25298.22128,0,320,0,0,0,0
49171,78,1.161505,254,50.27360444,0,272,0,0,0,1
49178,113,27.966057,62,93.15744506,12787.84766,82,121,1,0,0
49180,113,33.515258,62,102.465095,14563.26172,83,115,1,0,0
49190,113,18.747367,62,81.01718447,8398.820312,83,136,3,0,0
49193,113,23.481799,62,89.13549092,11724.32422,80,152,2,0,0
49194,113,17.636502,62,78.26271924,7892.853027,82,136,1,0,0
49195,113,24.253595,62,91.71541731,11710.20606,82,147,2,0,0
49202,78,0.861745,254,21.0050791,0,64,0,0,0,0
49211,113,18.539859,62,75.90136422,8071.668945,82,115,2,0,0
49215,78,1.32821,254,53.76044593,0,272,0,0,0,0
49219,113,29.510437,62,101.2471932,11568.09082,75,133,1,0,0
49220,113,38.846577,62,116.7794228,20291.62305,83,159,1,0,0
49224,113,1.009569,62,19.02411528,499.87323,79,153,2.449489743,0,0
49226,113,28.261487,62,98.90120939,11102.30176,75,133,1,0,0
49228,113,36.058126,254,79.47241807,7241.989746,46,53,0,0,1
49229,113,38.906499,62,116.7126881,21183.44531,83,165,1,0,0
49285,113,23.587785,62,89.3364236,10334.22461,80,133,3,0,0
49289,113,19.708582,62,77.8851349,8530.704102,81,114,1,0,0
49290,113,25.563833,254,79.54747501,3729.312256,58,44,0,0,8
49292,113,19.156721,62,80.50921009,8474.032227,80,134,2,0,0
49299,113,20.476035,62,84.43915385,9854.361328,75,163,1,0,0
49311,113,21.971914,62,86.76012527,9977.833984,81,138,2.449489743,0,0
49339,113,23.876546,254,70.54342634,3910.727051,45,56,0,0,1
49342,97,250000.0006,254,25298.22128,0,320,0,0,0,1
49355,113,16.105898,62,74.33216335,8276.536133,81,156,1,0,0
49367,119,250000.0006,254,14000,0,98,0,0,0,8
49381,119,200000.0051,254,24560.13029,0,377,0,0,0,8
49386,103,111111.1072,254,9428.090369,0,100,0,0,0,0
49418,59,111111.1072,254,9428.090369,0,100,0,0,0,0
49468,113,41.206427,62,119.5464696,20302.64844,82,150,1,0,0
49484,113,18.797492,62,82.47715119,2742.222412,85,44,1,0,1
49497,97,111111.1072,254,13984.11785,0,220,0,0,0,0
49519,113,59.015279,62,178.7888507,44518.35156,128,229,1,0,1
49533,119,111111.1072,254,12220.20163,0,168,0,0,0,8
49541,113,24.031776,62,86.1665527,11526.09766,74,140,1,0,0
49548,113,27.09863,62,96.35181303,14193.30566,81,159,2,0,0
49553,78,4.963954,254,103.9305751,0,272,0,0,0,1
49577,113,46.270844,62,125.3842064,22297.10352,80,146,2,0,0
49579,120,333333.3215,254,16329.93129,0,100,0,0,0,0
49593,97,111111.1072,254,13984.11785,0,220,0,0,0,1
49597,113,31.995122,62,103.4658949,14183.24902,79,135,1,0,0
49602,113,84.670182,254,190.4243103,10115.26465,89,45,0,0,8
49616,120,111111.1072,254,9428.090369,0,100,0,0,0,0
49619,113,80.958988,254,144.4127251,9671.900391,54,45,0,0,8
49652,113,81.850925,254,170.5093816,9778.457031,74,45,0,0,8
49679,119,111111.1072,254,11962.90533,0,161,0,0,0,8
49680,78,4.963954,254,103.9305751,0,272,0,0,0,0
49702,113,28.098245,62,98.44918582,14280.51953,81,154,1,0,0
49710,120,1000000.003,254,28284.27125,0,100,0,0,0,0
49716,113,27.09863,62,96.35181303,14193.30566,81,159,2,0,0
49754,113,1.009569,62,19.02411528,499.87323,79,153,2.449489743,0,0
49762,113,28.559812,62,98.02824151,13816.22852,79,147,1,0,0
49766,113,36.659508,62,106.7307826,19402.52734,82,140,1,0,0
49770,113,1.009569,62,19.02411528,499.87323,79,153,2.449489743,0,0
49782,113,83.104331,254,160.0571614,9928.197266,64,45,0,0,8
49816,119,250000.0006,254,17262.6765,0,149,0,0,0,8
49830,119,166666.6608,254,12909.94407,0,125,0,0,0,8
49836,113,35.7074,254,103.0850254,4265.844238,62,45,0,0,1
49842,113,27.47981,254,74.1347551,6388.247559,47,71,0,0,1
49847,119,333333.3215,254,13856.40646,0,72,0,0,0,8
49881,119,111111.1072,254,18135.29333,0,370,0,0,0,8
49895,113,28.761933,62,98.51200058,12885.3457,80,136,2,0,0
49899,113,28.761933,62,98.51200058,12885.3457,80,136,2,0,0
49907,120,125000.0003,254,10000,0,100,0,0,0,0
49936,113,44.69903,254,199.0948561,46284.58203,218,274,1,0,1
49941,119,250000.0006,254,13928.38828,0,97,0,0,0,8
49949,97,10.132862,254,87.66277828,4020.719727,158,248,0,0,1
49956,113,25.721644,62,94.64240366,11317.52344,82,134,2,0,0
49959,113,233.370165,254,1351.516602,13446.84766,1189,44,1,0,9
49969,113,36.045052,254,84.90589057,8379.414062,47,71,0,0,1
49978,113,39.841105,62,118.1061989,19536.20313,83,149,2,0,0
49979,120,111111.1072,254,9428.090369,0,100,0,0,0,0
50002,119,500000.0013,254,43451.12196,0,472,0,0,0,8
50027,119,333333.3215,254,13165.61157,0,65,0,0,0,8
50036,113,16.402206,62,74.08093454,9146.641602,79,169,2,0,0
50050,113,21.971914,62,86.76012527,9977.833984,81,138,2.449489743,0,0
50056,113,16.759865,254,75.46131887,2444.968506,80,44,1,0,1
50071,120,111111.1072,254,9428.090369,0,100,0,0,0,0
50077,113,49.484193,254,409.8480091,4667.140625,620,45,1,0,9
50097,113,39.075788,254,102.0193666,5700.467773,63,44,0,0,8
50113,113,28.582815,254,150.1447088,4169.728027,186,44,0,0,8
50116,113,36.371925,254,100.8203364,4345.232422,58,45,0,0,8
50142,50,111111.1072,254,8944.27191,0,90,0,0,0,0
50149,119,111111.1072,254,6733.003193,0,51,0,0,0,8
50168,108,2.971627,254,46.25550273,0,90,0,0,0,0
50192,113,75.181565,254,191.7519149,8981.691406,102,45,0,0,8
50201,8,333333.3215,254,15491.93287,0,90,0,0,0,0
50214,113,22.678792,254,105.471662,6002.752441,126,68,0,0,0
50221,43,125000.0003,254,9486.832981,0,90,0,0,0,0
50229,113,58.345779,254,122.087679,6970.375977,53,45,0,0,8
50236,120,38461.5389,254,5547.002073,0,100,0,0,0,0
50253,120,111111.1072,254,9428.090369,0,100,0,0,0,0
